series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,412.2,430.5,432.9,433.7,421.5,416.8,400.2,364.9,315.4,259.2,239.1,230,230.4,221.3,215.4,222.2,237.3,237.7,230.2,220.8,246
Alaska,374.8,413.2,385.2,379.6,340.6,391.3,378.5,356,237.2,241.5,226.7,191.7,208.4,229.9,235.9,277.3,412.3,575,543.6,356.7,269.3
