series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,412.2,430.5,432.9,433.7,421.5,416.8,400.2,364.9,315.4,259.2,239.1,230,230.4,221.3,215.4,222.2,237.3,237.7,230.2,220.8,246
Washington,594.1,652,667.4,662.5,696.5,783.3,726,589.3,444.8,356.3,381.8,363.8,386.7,407.6,432.7,376.6,443.9,395.5,370.6,325.5,356.1
