series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,412.2,430.5,432.9,433.7,421.5,416.8,400.2,364.9,315.4,259.2,239.1,230,230.4,221.3,215.4,222.2,237.3,237.7,230.2,220.8,246
Oregon,407.2,427.3,469.4,532.3,516.1,529.3,395.5,390.6,300.2,260.8,237.8,235.4,262.9,252.3,258.7,265.8,325.3,410.4,399.2,368.1,391
