series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,412.2,430.5,432.9,433.7,421.5,416.8,400.2,364.9,315.4,259.2,239.1,230,230.4,221.3,215.4,222.2,237.3,237.7,230.2,220.8,246
Nevada,659.2,700.9,806.8,929.8,970.3,1116.4,1082.2,871.7,613,469.1,376.6,352.1,363.7,358.2,358.8,393.6,447.6,431,393.6,364.7,336.4
