series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,412.2,430.5,432.9,433.7,421.5,416.8,400.2,364.9,315.4,259.2,239.1,230,230.4,221.3,215.4,222.2,237.3,237.7,230.2,220.8,246
Colorado,394.3,473.8,515.1,501.7,521.6,559.7,434.6,342.6,270.3,248.4,223.3,215,233.2,237.6,235.2,294,355.2,390.7,386.9,377.2,524.3
