Colorado Department of Revenue,,,,
Marijuana Sales by County Report,,,,
January 2014 to Date,,,,
,,,,
Month,Year,County,Medical Marijuana Sales ¹,Retail Marijuana Sales ²
5,2014,Costilla,NR,NA
5,2014,Denver,"$14,150,620 ","$11,300,905 "
5,2014,Eagle,"$146,126 ",NR
5,2014,El Paso,"$5,518,910 ",NA
5,2014,Fremont,"$239,918 ",NA
5,2014,Garfield,"$434,235 ","$292,839 "
5,2014,Gilpin,"$42,979 ","$116,815 "
5,2014,Grand,NR,NA
5,2014,Gunnison,NR,NR
5,2014,Jefferson,"$2,037,535 ","$1,435,895 "
5,2014,La Plata,"$561,810 ",NA
5,2014,Lake,NA,NR
5,2014,Larimer,"$1,116,171 ",NR
5,2014,Mesa,NR,NA
5,2014,Moffat,NR,NA
5,2014,Montezuma,"$120,385 ",NA
5,2014,Montrose,NR,NA
5,2014,Ouray,NR,NR
5,2014,Park,NR,NR
5,2014,Pitkin,"$95,001 ","$185,390 "
5,2014,Pueblo,"$452,196 ","$1,417,017 "
5,2014,Routt,"$159,620 ",NR
5,2014,San Miguel,"$49,679 ","$257,276 "
5,2014,Sedgwick,NR,NA
5,2014,Summit,"$201,566 ","$545,898 "
5,2014,Teller,NR,NA
5,2014,Weld,"$516,873 ","$694,205 "
6,2014, Total,"$29,950,309 ","$23,978,082 "
6,2014,Adams,"$433,176 ",NR
6,2014,Alamosa,NR,NA
6,2014,Arapahoe,"$1,425,313 ",NA
6,2014,Archuleta,NR,NA
6,2014,Boulder,"$2,507,058 ","$2,593,735 "
6,2014,Chaffee,"$96,647 ",NA
6,2014,Clear Creek,"$97,965 ","$396,938 "
6,2014,Costilla,NR,NA
6,2014,Denver,"$13,476,218 ","$12,245,778 "
6,2014,Eagle,"$132,878 ",NR
6,2014,El Paso,"$5,342,494 ",NA
6,2014,Fremont,"$228,665 ",NA
6,2014,Garfield,"$418,280 ","$392,391 "
6,2014,Gilpin,"$38,278 ","$145,630 "
6,2014,Grand,NR,NA
6,2014,Gunnison,NR,NR
6,2014,Jefferson,"$1,889,080 ","$1,445,315 "
6,2014,La Plata,"$544,589 ",NA
6,2014,Lake,NA,NR
6,2014,Larimer,"$1,112,079 ",NR
6,2014,Mesa,NR,NA
6,2014,Moffat,NR,NA
